Player,Team,POS,ATT,RUSH_YDS,RUSH_TDS,REC,REC_YDS,REC_TDS,FL,FPTS
Kyle Williams,NE,WR78,2.1,13.3,0,38.8,492.5,2.9,0.4,67.3
Tutu Atwell,LAR,WR79,4.3,20.2,0.1,39.1,498,2.2,0.1,65.3
Darius Slayton,NYG,WR80,1.4,6.1,0,34.1,502,2.4,0.2,65.2
DeAndre Hopkins,BAL,WR81,0,0.5,0,32,416.4,3.9,0.1,64.9
Miles Sanders,DAL,RB60,93.9,404.7,2.3,12,77.4,0.6,0.5,64.6
Kendre Miller,NO,RB61,95,365.9,3.4,9.7,72.6,0.2,0.4,64.5
Tyler Higbee,LAR,TE29,0,0,0,45.3,425.3,3.7,0.1,64.4
Nick Westbrook-Ikhine,MIA,WR82,0,1.3,0,31.2,423.4,3.7,0.1,64.3
Theo Johnson,NYG,TE30,0,0,0,43.1,470,2.7,0.1,63
Jalen Tolbert,DAL,WR83,0,0,0,34.3,408.5,3.5,0.1,61.7
Brandin Cooks,NO,WR84,1.7,3.8,0,37.4,431.6,2.9,0.1,60.7
Elijah Arroyo,SEA,TE31,0,0,0,41.1,436,2.9,0.4,60.1
Ray-Ray McCloud III,ATL,WR85,7.8,53.1,0.2,39.7,426.2,2.3,1.2,60.1
Raheem Mostert,LV,RB62,77.5,289.9,2.6,18.1,133.8,0.6,0.8,60
Josh Reynolds,NYJ,WR86,0,0,0,33.4,435,2.7,0.1,59.6
Blake Corum,LAR,RB63,96.3,350.7,2.4,12,87.4,0.3,0.4,59.5
Mason Taylor,NYJ,TE32,0,0,0,44.5,449.6,2.6,0.5,59.4
Jalen Nailor,MIN,WR87,1.8,7.1,0,27.9,372.7,3.4,0.4,57.7
Tre Tucker,LV,WR88,5.6,31.5,0.3,30.1,388.5,2.3,0.1,57.6
Justice Hill,BAL,RB64,41.8,185.1,1.1,27.3,222.3,1.7,0.4,56.6
Woody Marks,HOU,RB65,72.3,259.1,1.8,20,146.4,1,0.1,56.6
Andrei Iosivas,CIN,WR89,0,0,0,30.4,363.4,3.4,0.1,56.6
Marquez Valdes-Scantling,SEA,WR90,2.6,10,0.1,24.3,402.8,2.4,0,55.7
Jordan Whittington,LAR,WR91,1.1,13.9,0,34.1,397.8,2.4,0.1,55.6
Jalen Coker,CAR,WR92,0,2.3,0,32.9,428.7,2.1,0.1,55.5
Tory Horton,SEA,WR93,1,8.7,0,33.5,426.7,2.1,0.7,54.4
Allen Lazard,NYJ,WR94,0,0,0,29.9,382.9,2.7,0.1,54.2
Keaton Mitchell,BAL,RB66,75.6,330,1.7,8.6,83.4,0.5,0,54.1
Samaje Perine,CIN,RB67,51.2,200.4,1.5,21.2,195.7,1.1,0.7,53.5
Dont'e Thornton Jr.,LV,WR95,0,3,0,29.1,393.3,2.3,0.1,53
Dontayvion Wicks,GB,WR96,0,1.3,0,27.5,346.4,3,0,52.8
Pat Bryant,DEN,WR97,0,0,0,30.7,375.6,2.6,0.1,52.7
Will Dissly,LAC,TE33,0,0,0,37.8,369.9,2.5,0,51.9
Adonai Mitchell,IND,WR98,2.5,11.5,0.1,26.6,368.6,2.3,0.2,51.9
Khalil Herbert,IND,RB68,84.6,325,2.1,8.3,54,0.2,0,51.8
Noah Brown,WAS,WR99,0,0,0,31.4,404.7,1.9,0.1,51.7
Ty Johnson,BUF,RB69,45.7,208.1,1,15.2,165.1,1.5,0.1,51.6
Christian Watson,GB,WR100,4.3,17,0,19.9,366.6,2.3,0.4,51.6
Noah Fant,CIN,TE34,0,0,0,36.2,370.6,2.4,0.1,51.6
Ja'Tavion Sanders,CAR,TE35,0,0,0,38.5,388.4,2.1,0.1,51.1
Russell Gage Jr.,SF,WR101,0,0,0,31.4,360.9,2.5,0,51
Troy Franklin,DEN,WR102,1.1,5.8,0,27.2,342.5,2.7,0.1,50.9
Tyler Conklin,LAC,TE36,0,0,0,36.4,352.2,2.5,0.1,49.8
Jaylin Noel,HOU,WR103,0,13,0,27.2,326.9,2.3,0.1,47.6
Elic Ayomanor,TEN,WR104,0,7.5,0,28.6,336.3,2.2,0.1,47.4
K.J. Osborn,WAS,WR105,0,0,0,28.7,318.5,2.5,0,46.9
Curtis Samuel,BUF,WR106,6.6,29.3,0.1,27,271.5,2.5,0.1,45.4
AJ Barner,SEA,TE37,0,0,0,32.4,302.7,2.4,0.1,44.3
Anthony Miller,BAL,WR107,0,0,0,25.3,289.4,2.5,0,44.1
Jarquez Hunter,LAR,RB70,57.1,245,1.9,8.5,69,0.4,0.7,43.9
Noah Gray,KC,TE38,0,0,0,28.2,284.8,2.6,0,43.8
Antonio Gibson,NE,RB71,51.5,209.5,1,15.8,127.1,0.5,0,42.4
Elijah Mitchell,KC,RB72,62.5,235.9,1.9,8.5,49,0.4,0.1,42.1
Kayshon Boutte,NE,WR108,0,0,0,22.5,301.5,2,0,41.9
Greg Dortch,ARI,WR109,4.8,30.6,0.1,27.1,269.3,2,0.4,41.8
Cole Kmet,CHI,TE39,0,0,0,30,288.6,2.3,0.4,41.7
Van Jefferson,TEN,WR110,0,0,0,23.5,300.4,1.9,0.1,41
Ja'Lynn Polk,NE,WR111,0,0,0,24.7,299,1.8,0,40.8
Malik Washington,MIA,WR112,2,13.8,0.1,27.5,289.1,1.8,0.6,40.5
Devaughn Vele,DEN,WR113,0,1.7,0,24.9,275.3,2.1,0.1,40.1
Devin Singletary,NYG,RB73,51.8,234.9,1.5,9.4,63.3,0.1,0.4,39
Roman Wilson,PIT,WR114,0,0,0,21.8,276.7,1.9,0.1,39
Trevor Etienne,CAR,RB74,47.8,191.3,1.5,10.7,86.8,0.4,0.4,38.3
Tahj Brooks,CIN,RB75,24.9,225.4,1.9,6.7,48.2,0.1,0.6,38
KaVontae Turpin,DAL,WR115,8.5,58.6,0.5,17.2,218.9,1.4,0.7,37.8
Parker Washington,JAC,WR116,0,8.5,0,25.7,276.7,1.6,0.1,37.8
Kenneth Gainwell,PIT,RB76,53.9,196.5,1.3,12.5,88.6,0.4,0.4,37.7
Tim Patrick,DET,WR117,0,0,0,20.5,258.2,2,0.1,37.6
Foster Moreau,NO,TE40,0,0,0,23,259.9,1.9,0.1,37.2
Will Shipley,PHI,RB77,37.4,199.4,1.3,8.3,61.8,0.4,0.1,36.2
Sean Tucker,TB,RB78,44.8,231.4,1.4,5.1,40.1,0.3,0.7,36.1
Demarcus Robinson,SF,WR118,0,1,0,15.3,241.6,2,0.1,36.1
Devin Neal,NO,RB79,38.8,204.6,1.3,7.3,54.5,0.4,0.1,35.9
Jermaine Burton,CIN,WR119,0,2,0,18.1,239.8,2,0.1,35.7
Austin Hooper,NE,TE41,0,0,0,26.8,264,1.7,0.4,35.7
Emanuel Wilson,GB,RB80,41.9,202.7,1.4,7.4,53.9,0.4,0.3,35.6
Dawson Knox,BUF,TE42,0,0,0,21.9,238,1.9,0,35.3
Michael Mayer,LV,TE43,0,0,0,27.7,257.3,1.6,0.1,35.2
Skyy Moore,KC,WR120,0,0,0,22.2,252.7,1.7,0,35.2
Chimere Dike,TEN,WR121,2.1,8.9,0,18.9,246,1.6,0.1,35.1
Kyle Monangai,CHI,RB81,33.4,213,1.8,4.4,31.6,0,0,35
Jaleel McLaughlin,DEN,RB82,30.5,142.6,0.8,18.2,110.3,0.9,0.5,34.3
Terrance Ferguson,LAR,TE44,0,0,0,23,235.5,1.9,0.4,34.1
Zamir White,LV,RB83,56.1,190.2,1.1,8.6,61.7,0.3,0,33.6
Robbie Ouzts,SEA,TE45,0,0,0,25.5,247,1.5,0.5,32.9
A.J. Dillon,PHI,RB84,50.1,199.1,1.6,3.6,28.6,0.1,0,32.7
Tai Felton,MIN,WR122,0,3.7,0,18.3,221.1,1.7,0,32.6
Harold Fannin Jr.,CLE,TE46,0,0,0,23.7,234.3,1.2,0.4,30
Tyler Johnson,NYJ,WR123,0,0,0,19.7,207.4,1.5,0,29.9
Ben Sinnott,WAS,TE47,0,0,0,20.3,199.2,1.6,0.1,29.5
JuJu Smith-Schuster,KC,WR124,0,0,0,19.6,206.8,1.5,0.1,29.3
Luke McCaffrey,WAS,WR125,0,1,0,19.4,203.1,1.5,0.1,29
Josh Oliver,MIN,TE48,0,0,0,18.2,192.7,1.5,0.1,28.4
Robert Woods,PIT,WR126,0,0,0,20.1,211.3,1.2,0.1,28.4
Jacory Croskey-Merritt,WAS,RB85,33,169.7,1.4,3.7,27.3,0.1,0,28.3
Tommy Tremble,CAR,TE49,0,0,0,19.2,185.4,1.7,0.4,28
DJ Giddens,IND,RB86,24.1,157.7,1.2,5.8,44.6,0.1,0,27.6
Jalen Royals,KC,WR127,0,2.5,0,15.7,188.1,1.4,0,27.4
Luke Musgrave,GB,TE50,0,0,0,19.1,186.4,1.4,0,27.1
Kendrick Bourne,NE,WR128,1.1,6.8,0,17.7,199.8,1.1,0.1,27
A.T. Perry,DEN,WR129,0,0,0,13.7,180.5,1.5,0,26.9
Brock Wright,DET,TE51,0,0,0,15,134.8,2.2,0,26.4
Jordan James,SF,RB87,26.9,154.8,1.3,3.3,29.5,0,0,26.1
Zay Jones,ARI,WR130,0,2,0,16.8,179.7,1.3,0.1,25.6
Brashard Smith,KC,RB88,9.7,97,0.7,10.9,80.3,0.7,0,25.5
Oronde Gadsden II,LAC,TE52,0,0,0,16.5,168.9,1.4,0,25.1
Audric Estime,DEN,RB89,45.5,148.6,0.9,5.8,40.1,0.2,0.4,25.1
Amar Johnson,GB,RB90,35,164,1,2,26,0,0,25
Jahan Dotson,PHI,WR131,0,1.7,0,15.4,178.4,1.1,0,24.8
Taysom Hill,NO,TE53,0,50,1,12.3,104.7,0.7,0.3,24.8
Kalif Raymond,DET,WR132,0,4,0,14.7,182.5,1.2,0.6,24.6
Bub Means,NO,WR133,0.7,4,0,15.1,188.6,1,0.3,24.4
Kyle Juszczyk,SF,RB91,6.7,26.8,0.4,14.1,136.3,1.1,0.4,24.2
Isaiah Davis,NYJ,RB92,28.3,144.5,0.8,5.1,36.3,0.1,0,23.7
Elijah Moore,BUF,WR134,0,1.3,0,14.5,159.6,1.2,0,23.4
Jeremy Ruckert,NYJ,TE54,0,0,0,18.7,161.4,1.2,0,23.4
Chris Brooks,GB,RB93,30.9,139.4,0.9,5.3,34.5,0,0,23.2
Jalin Hyatt,NYG,WR135,0,0,0,13.1,173.9,0.9,0,22.8
Isaac TeSlaa,DET,WR136,0,0,0,10.7,155.2,1.1,0,22.3
Clyde Edwards-Helaire,NO,RB94,41.5,126.7,0.6,5.7,42.7,0.3,0.1,22.1
Malachi Corley,NYJ,WR137,2.3,13.5,0.1,13.8,147,0.9,0.1,21.9
Adam Trautman,DEN,TE55,0,0,0,12.6,136.7,1.4,0,21.8
Ollie Gordon II,MIA,RB95,36.2,126.1,1.1,3.5,26.9,0.1,0.4,21.5
Xavier Hutchinson,HOU,WR138,0,0,0,14,152.6,1,0,21.1
Gunnar Helm,TEN,TE56,0,0,0,16.4,163.3,0.9,0.4,20.9
Luke Schoonmaker,DAL,TE57,0,0,0,14.9,134.3,1.2,0,20.3
Brevin Jordan,HOU,TE58,0,0,0,12.6,137.8,1.1,0,20.2
Kimani Vidal,LAC,RB96,35.4,105.4,0.6,5.4,41,0.3,0,20
Josh Whyle,TEN,TE59,0,0,0,16.7,152.9,0.7,0,19.5
Cade Stover,HOU,TE60,0,0,0,14.4,137,1,0,19.4
Charlie Woerner,ATL,TE61,0,0,0,14,131.2,1,0,19.2
Sincere McCormick,LV,RB97,23.7,112.9,0.8,4.3,29.9,0.1,0.1,19.2
Michael Gallup,WAS,WR139,0,0,0,11.6,130.8,1,0,19.2
Emari Demercado,ARI,RB98,18.7,106.3,0.4,8.1,54,0.1,0,19.1
Chris Rodriguez Jr.,WAS,RB99,33,121.8,0.9,1.6,11.9,0,0,19.1
Jake Bobo,SEA,WR140,0,0,0,11.8,138.3,0.9,0,19
Jaylin Lane,WAS,WR141,2.2,13.5,0.1,10.4,120,0.8,0.1,18.7
Daniel Bellinger,NYG,TE62,0,0,0,14.9,137.3,0.8,0,18.6
Irvin Charles,NYJ,WR142,0,0,0,12.4,132.6,0.9,0,18.5
DJ Chark Jr.,ATL,WR143,0,0,0,9.4,128.4,0.9,0,18.4
Ty Chandler,MIN,RB100,18.9,96.3,0.7,5.5,38.8,0.1,0,18.3
Jake Briningstool,KC,TE63,0,0,0,12,121,1,0,18.1
Cam Akers,NO,RB101,36.1,113.4,0.6,3,20.4,0.1,0,18
Payne Durham,TB,TE64,0,0,0,11,107.1,1.2,0,17.9
Julian Hill,MIA,TE65,0,0,0,14.3,130.1,0.9,0.4,17.9
Arian Smith,NYJ,WR144,0,3.5,0,11.2,134.3,0.7,0,17.8
Jha'Quan Jackson,TEN,WR145,0,1.7,0,11.4,138.2,0.8,0.5,17.7
Jelani Woods,IND,TE66,0,0,0,7,117,1,0,17.7
Savion Williams,GB,WR146,4.4,16.4,0.1,9.1,104.8,0.8,0,17.5
Elijah Higgins,ARI,TE67,0,0,0,11.4,110.3,1.1,0,17.4
Quez Watkins,ARI,WR147,0,0,0,10.6,127.3,0.8,0,17.4
Mack Hollins,NE,WR148,0,1.7,0,9.2,115.5,0.9,0.1,17.1
Darnell Washington,PIT,TE68,0,0,0,12.5,125.8,0.7,0,16.9
Johnny Mundt,JAC,TE69,0,0,0,13.4,118.2,0.8,0,16.8
Erik Ezukanma,MIA,WR149,0,0,0,10.8,121,0.8,0,16.8
Xavier Restrepo,TEN,WR150,0,2,0,10,105,1,0,16.7
Nate Adkins,DEN,TE70,0,0,0,8.5,69.8,1.6,0,16.5
Grant Calcaterra,PHI,TE71,0,0,0,10.4,109.2,0.9,0,16
Kalel Mullings,TEN,RB102,10.4,96.5,0.6,3,21.8,0,0,15.8
Colby Parkinson,LAR,TE72,0,0,0,10.6,106.9,0.9,0,15.8
Connor Heyward,PIT,TE73,0,0,0,10.2,87.7,1.2,0,15.7
Damien Martinez,SEA,RB103,8.6,97,0.6,3,22,0,0,15.7
Dameon Pierce,HOU,RB104,4.5,81.6,0.7,5.8,40.1,0.1,1,15.4
KhaDarel Hodge,ATL,WR151,0,0,0,8.8,113.8,0.6,0.1,15.1
DeAndre Carter,CLE,WR152,0,2,0,10.9,128.5,0.5,0.5,15
Patrick Taylor Jr.,SF,RB105,29.1,89.6,0.4,2.9,21.5,0.2,0,14.5
Tylan Wallace,BAL,WR153,0,1.7,0,6.7,90,0.9,0,14.3
Alec Ingold,MIA,RB106,11,21.9,0.8,7.4,53.7,0.4,0.4,14
Tyler Goodson,IND,RB107,16.5,67,0.3,4.3,30.3,0.3,0,13.7
Drew Ogletree,IND,TE74,0,0,0,6.9,86.9,0.8,0,13.7
Rasheen Ali,BAL,RB108,5.2,80.8,0.6,2.4,17.7,0.1,0,13.6
Raheem Blackshear,CAR,RB109,30.4,86.8,0.5,2.8,20.6,0.1,0.5,13.2
Simi Fehoko,ARI,WR154,0,0,0,7.6,91.5,0.7,0,13.1
Jeremy McNichols,WAS,RB110,19.7,73.6,0.7,2.4,12.3,0,0,13.1
Drew Sample,CIN,TE75,0,0,0,10.4,85,0.8,0,13
Michael Burton,DEN,RB111,6.7,14.6,0.6,7.1,45.6,0.6,0,13
Jase McClellan,TB,RB112,30.7,82,0.4,3,20.9,0.1,0,13
Jamal Agnew,ATL,WR155,0,0,0,8.5,86.1,0.7,0,12.9
Olamide Zaccheaus,CHI,WR156,1.1,6,0,7.6,85.1,0.6,0,12.7
Craig Reynolds,DET,RB113,8.5,38,0.1,7,55.9,0.4,0,12.4
Travis Homer,CHI,RB114,22.2,71.6,0.3,3.3,25,0.1,0,12.3
Ronnie Rivers,LAR,RB115,31.7,90.4,0.5,0.3,2.3,0,0,12.2
Pharaoh Brown,MIA,TE76,0,0,0,10.1,93.4,0.5,0,12.1
Cedrick Wilson Jr.,NO,WR157,0,2,0,7.9,88.4,0.5,0,12.1
Teagan Quitoriano,ATL,TE77,0,0,0,5.5,89.5,0.5,0,12
Lawrence Cager,WAS,WR158,0,0,0,5.5,57,1,0,11.7
Hunter Renfrow,CAR,WR159,0,0,0,9.3,90.1,0.4,0,11.5
KeAndre Lambert-Smith,LAC,WR160,0,3,0,5.9,77.7,0.6,0,11.4
Tim Jones,MIN,WR161,0,0,0,7.1,77.1,0.6,0.1,11.4
C.J. Ham,MIN,RB116,3,13.6,1,5.3,34.8,0.1,0,11.3
Michael Carter,ARI,RB117,9.6,41.2,0.2,6.6,44.9,0.3,0,11.3
Gavin Bartholomew,MIN,TE78,0,0,0,7,75,0.6,0,11
Pierre Strong Jr.,CLE,RB118,16.5,55.8,0.2,4.4,33.1,0.1,0,10.8
Brevyn Spann-Ford,DAL,TE79,0,0,0,7.3,71.1,0.6,0,10.8
Devontez Walker,BAL,WR162,0,1.7,0,4.9,68.5,0.6,0,10.8
Bo Melton,GB,WR163,0,0,0,6.2,73.9,0.6,0,10.8
LeQuint Allen Jr.,JAC,RB119,4,50.9,0.6,3,22,0,0,10.6
Ben Skowronek,PIT,WR164,0,0,0,6.5,72.3,0.5,0,10.3
Devin Culp,TB,TE80,0,0,0,6.3,68.1,0.6,0,10.3
Lucas Krull,DEN,TE81,0,0,0,8.3,79.8,0.4,0,10.3
Carson Steele,KC,RB120,27.3,70.3,0.3,4.1,22,0.1,0.7,10.2
Quintin Morris,JAC,TE82,0,0,0,7.8,69.5,0.5,0,10
Charlie Kolar,BAL,TE83,0,1,0,5.7,71.7,0.4,0,9.9
Jordan Mims,TEN,RB121,14.8,62.1,0.3,2,14.1,0.1,0,9.9
Tanner McLachlan,CIN,TE84,0,0,0,7,68.5,0.5,0,9.9
