Player,Team,POS,ATT,RUSH_YDS,RUSH_TDS,REC,REC_YDS,REC_TDS,FL,FPTS
Durham Smythe,CHI,TE115,0,0,0,3.6,32.2,0.1,0,4
Trey Sermon,PIT,RB136,5,20.8,0.1,1.6,11.5,0.1,0,3.9
Tyler Scott,CHI,WR196,0,1.7,0,2.7,29.4,0.1,0,3.9
Devin Duvernay,CHI,WR197,0,2,0,3.5,34.5,0.2,0.5,3.8
Mecole Hardman Jr.,GB,WR198,0,2,0,3,33.6,0.2,0.5,3.8
Tanner Hudson,CIN,TE116,0,0,0,3,27.7,0.2,0,3.7
Zonovan Knight,ARI,RB137,2.4,10.1,0.1,2.1,15.3,0.1,0,3.6
Nick Nash,ATL,WR199,0,0,0,3,35,0,0,3.5
Elijah Dotson,ATL,RB138,2.6,10.9,0.1,2,13.9,0.1,0,3.5
Velus Jones Jr.,NO,WR200,2.4,10.5,0.1,1.9,13.5,0.1,0,3.4
Terrell Jennings,NE,RB139,2.4,10.1,0.1,1.9,14.6,0.1,0,3.3
Ainias Smith,PHI,WR201,0,0,0,2.2,24.7,0.1,0,3.3
Tucker Fisk,LAC,TE117,0,0,0,2.6,25.6,0.1,0,3.2
Isaiah Williams,CIN,WR202,0,0,0,1.9,20.7,0.2,0,3.1
Erick All Jr.,CIN,TE118,0,0,0,2.4,20.4,0.2,0,3.1
Jacob Cowing,SF,WR203,0,8.5,0,1.1,15.6,0.1,0,2.9
Zach Davidson,BUF,TE119,0,0,0,1.9,19,0.2,0,2.9
Ryan Flournoy,DAL,WR204,0,0,0,1.9,20.7,0.1,0,2.9
Laviska Shenault Jr.,BUF,WR205,0,0,0,1.8,19.5,0.1,0,2.7
Jack Stoll,NO,TE120,0,0,0,2.5,23.7,0,0,2.6
Ashton Dulin,IND,WR206,0,1.7,0,1.6,19.6,0.1,0,2.6
David Martin-Robinson,TEN,TE121,0,0,0,1.9,18.6,0.1,0,2.6
Trent Sherfield Sr.,DEN,WR207,0,0,0,1.8,20.9,0.1,0,2.6
Feleipe Franks,ATL,QB2,0,0,0,1.8,17.7,0.1,0,2.5
Anthony Gould,IND,WR208,0,2.5,0,1.7,19.9,0,0,2.5
Steven Sims Jr.,SEA,WR209,0,0,0,1.7,17.9,0.1,0,2.5
Tank Dell,HOU,WR210,0,0,0,2,24,0,0,2.4
Isaiah Neyor,GB,WR211,0,0,0,2,24,0,0,2.4
Blake Whiteheart,CLE,TE122,0,0,0,1.9,18.1,0.1,0,2.4
Miles Boykin,CHI,WR212,0,0,0,1.6,17.9,0.1,0,2.3
Tez Johnson,TB,WR213,0,0,0,1.6,19.7,0.1,0,2.3
Zach Pascal,NYG,WR214,0,0,0,1.5,17.7,0.1,0,2.3
James Mitchell,CAR,TE123,0,0,0,1.8,17.4,0.1,0,2.3
Dylan Laube,LV,RB140,0,10,0,1.5,11,0,0,2.1
Carlos Washington Jr.,ATL,RB141,0,15,0,0.5,3.5,0,0,1.9
Scott Matlock,LAC,DT1,0,0,0,2.2,14.7,0.1,0,1.8
Raheim Sanders,LAC,RB142,0,10.5,0,1,7.5,0,0,1.8
Jimmy Horn Jr.,CAR,WR215,0,0,0,1.5,18,0,0,1.8
Tyquan Thornton,KC,WR216,0,0,0,1,16,0,0,1.6
Trey Palmer,TB,WR217,0,0,0,0.9,9.8,0.1,0,1.5
Nikko Remigio,KC,WR218,0,0,0,0.8,10.2,0.1,0,1.4
Tyler Badie,DEN,RB143,0,10.5,0,0.5,3.5,0,0,1.4
Phil Mafah,DAL,RB144,0,10.5,0,0.5,3.5,0,0,1.4
Jeff Wilson Jr.,SF,RB145,0,10.5,0,0.5,3.5,0,0,1.4
Trayveon Williams,CLE,RB146,1.2,5.1,0,1,7,0,0,1.4
Braxton Berrios,HOU,WR219,0,2.5,0,1,10.5,0,0,1.3
Avery Williams,PHI,RB147,1.4,5.7,0,1.9,13.2,0.1,0.5,1.2
George Holani,SEA,RB148,0,8.5,0,0.5,3.5,0,0,1.2
D'Ernest Johnson,BAL,RB149,0,8.5,0,0.5,3.5,0,0,1.2
LaJohntay Wester,BAL,WR220,0,0,0,1,12,0,0,1.2
Nick Vannett,MIN,TE124,0,0,0,1,10,0,0,1
Keilan Robinson,PHI,RB150,0,2,0,1,7,0,0,0.9
Sione Vaki,DET,RB151,0,4.5,0,0.5,3.5,0,0,0.8
JaMycal Hasty,NE,RB152,0,4,0,0.5,3.5,0,0,0.8
Chris Moore,WAS,WR221,0,0,0,0.5,7,0,0,0.7
Harrison Bryant,PHI,TE125,0,0,0,0.5,5.5,0,0,0.6
Ihmir Smith-Marsette,NYG,WR222,0,2.5,0,0.8,9.5,0.1,0.5,0.5
Trenton Irwin,JAC,WR223,0,5,0,0,0,0,0,0.5

Xavier Smith,LAR,WR224,0,2.5,0,1,11,0,0.5,0.4
